fold,accuracy,precision,recall,f1,auc
1,0.8125,0.8571428571428571,0.75,0.8,0.8359375
2,0.8709677419354839,0.9230769230769231,0.8,0.8571428571428571,0.9374999999999999
3,0.6774193548387096,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7958333333333334
4,0.6451612903225806,0.6666666666666666,0.625,0.6451612903225806,0.6458333333333333
5,0.7741935483870968,0.9090909090909091,0.625,0.7407407407407407,0.8833333333333334
