metric,mean,std
accuracy,0.7560483870967742,0.0938095977752568
precision,0.8045288045288045,0.12822545258846602
recall,0.6933333333333334,0.07848389785314071
f1,0.741942310974569,0.08898917553259326
auc,0.8196875,0.11066721769754884
