fold,feature,coefficient,abs_coefficient,direction
1,avg_word_length,0.5182514691394412,0.5182514691394412,positive
1,n_lemmas,-0.4410285033651767,0.4410285033651767,negative
1,tokens_per_sentence,-0.36769114109504597,0.36769114109504597,negative
1,avg_concreteness,0.06090160574867137,0.06090160574867137,positive
1,n_low_synsets,0.38430981687191823,0.38430981687191823,positive
1,avg_Auditory_sensorimotor,0.8103315647451312,0.8103315647451312,positive
1,avg_Gustatory_sensorimotor,1.221280743597209,1.221280743597209,positive
1,avg_Foot_leg_sensorimotor,-0.11231021340318867,0.11231021340318867,negative
1,avg_Hand_arm_sensorimotor,0.017119270367253973,0.017119270367253973,positive
1,avg_Head_sensorimotor,0.06893963206094944,0.06893963206094944,positive
1,avg_Mouth_sensorimotor,-0.7301928092847364,0.7301928092847364,negative
1,avg_valence,1.1039346091811355,1.1039346091811355,positive
1,avg_dominance,-0.5771133445653996,0.5771133445653996,negative
1,sentiment_score,-0.14316252347147598,0.14316252347147598,negative
1,n_noun,-0.44504613860109515,0.44504613860109515,negative
1,n_verb,-0.20447645569947187,0.20447645569947187,negative
1,n_adv,0.7859007171761156,0.7859007171761156,positive
1,n_pron,0.14081932769555977,0.14081932769555977,positive
1,n_intj,0.3290456494946627,0.3290456494946627,positive
1,n_det,-0.31660151287836624,0.31660151287836624,negative
1,n_adj,0.2937214443778208,0.2937214443778208,positive
1,n_aux,0.7322536500642035,0.7322536500642035,positive
1,n_num,0.17420350529897752,0.17420350529897752,positive
1,n_VERB_Tense_Past,0.2314403426868137,0.2314403426868137,positive
1,n_VERB_Tense_Pres,-0.21604341794264778,0.21604341794264778,negative
1,aux_verb_ratio,0.22995968125734728,0.22995968125734728,positive
1,particle_verb_ratio,0.5310534894197613,0.5310534894197613,positive
2,avg_word_length,0.5684401437785438,0.5684401437785438,positive
2,n_lemmas,-0.17960907832244943,0.17960907832244943,negative
2,tokens_per_sentence,-0.15585731592666593,0.15585731592666593,negative
2,avg_concreteness,0.24170759159294283,0.24170759159294283,positive
2,n_low_synsets,0.01407435874048202,0.01407435874048202,positive
2,avg_Auditory_sensorimotor,1.196866573934537,1.196866573934537,positive
2,avg_Gustatory_sensorimotor,1.4872483535772407,1.4872483535772407,positive
2,avg_Interoceptive_sensorimotor,0.017356122773934148,0.017356122773934148,positive
2,avg_Hand_arm_sensorimotor,-0.01847360052250212,0.01847360052250212,negative
2,avg_Head_sensorimotor,0.16427209318094552,0.16427209318094552,positive
2,avg_Mouth_sensorimotor,-1.0839405013404155,1.0839405013404155,negative
2,avg_valence,1.004115449930645,1.004115449930645,positive
2,avg_dominance,-0.5762920801711829,0.5762920801711829,negative
2,n_noun,-0.2782284130740762,0.2782284130740762,negative
2,n_adv,0.6661732782055043,0.6661732782055043,positive
2,n_intj,0.40049111210722343,0.40049111210722343,positive
2,n_det,-0.6433116471862428,0.6433116471862428,negative
2,n_adj,0.44604862829668995,0.44604862829668995,positive
2,n_aux,0.49388917121572823,0.49388917121572823,positive
2,n_num,-0.008778101620811317,0.008778101620811317,negative
2,n_VERB_Tense_Past,0.44577437597660474,0.44577437597660474,positive
2,n_VERB_Tense_Pres,-0.038334972241068854,0.038334972241068854,negative
2,n_adjacent_repetitions,0.48909039557659817,0.48909039557659817,positive
2,aux_verb_ratio,0.31535579599024893,0.31535579599024893,positive
2,particle_verb_ratio,0.6112094551882093,0.6112094551882093,positive
3,avg_word_length,0.4952863205887538,0.4952863205887538,positive
3,n_lemmas,0.11156505662224155,0.11156505662224155,positive
3,avg_concreteness,0.24059367478395288,0.24059367478395288,positive
3,n_low_synsets,0.27078249441104657,0.27078249441104657,positive
3,avg_Auditory_sensorimotor,0.7690506809332284,0.7690506809332284,positive
3,avg_Gustatory_sensorimotor,1.2407637851034228,1.2407637851034228,positive
3,avg_Interoceptive_sensorimotor,-0.06443377782830957,0.06443377782830957,negative
3,avg_Hand_arm_sensorimotor,-0.045131151833466755,0.045131151833466755,negative
3,avg_Head_sensorimotor,0.15512627957495412,0.15512627957495412,positive
3,avg_Mouth_sensorimotor,-0.7465988504492538,0.7465988504492538,negative
3,avg_valence,1.0919663778645958,1.0919663778645958,positive
3,avg_dominance,-0.2849865258165023,0.2849865258165023,negative
3,sentiment_score,-0.05611945881972864,0.05611945881972864,negative
3,n_noun,-0.22678580536683057,0.22678580536683057,negative
3,n_adv,0.44652958349865757,0.44652958349865757,positive
3,n_intj,0.5451687698860161,0.5451687698860161,positive
3,n_det,-0.5728458545633173,0.5728458545633173,negative
3,n_adj,0.2850477567142383,0.2850477567142383,positive
3,n_aux,1.671533991853587,1.671533991853587,positive
3,n_num,-0.42142639529361575,0.42142639529361575,negative
3,n_VERB_Tense_Past,0.2585608136452919,0.2585608136452919,positive
3,n_adjacent_repetitions,0.14581666328643156,0.14581666328643156,positive
3,aux_verb_ratio,0.22310705584973978,0.22310705584973978,positive
3,particle_verb_ratio,0.6527410752079431,0.6527410752079431,positive
4,avg_word_length,0.3254821939060914,0.3254821939060914,positive
4,tokens_per_sentence,0.30919636348515,0.30919636348515,positive
4,avg_concreteness,0.5853136031464727,0.5853136031464727,positive
4,n_low_synsets,0.3688746130313103,0.3688746130313103,positive
4,avg_Auditory_sensorimotor,1.262580238284074,1.262580238284074,positive
4,avg_Gustatory_sensorimotor,1.2735779651258705,1.2735779651258705,positive
4,avg_Interoceptive_sensorimotor,0.004118903124404953,0.004118903124404953,positive
4,avg_Hand_arm_sensorimotor,0.028192981452360814,0.028192981452360814,positive
4,avg_Head_sensorimotor,0.23161973495994534,0.23161973495994534,positive
4,avg_Mouth_sensorimotor,-1.1292755990741017,1.1292755990741017,negative
4,avg_valence,1.0873182048945296,1.0873182048945296,positive
4,avg_dominance,-0.4579520488848618,0.4579520488848618,negative
4,sentiment_score,0.06220608495644742,0.06220608495644742,positive
4,n_noun,-0.7829186265455661,0.7829186265455661,negative
4,n_adv,0.9100647152440429,0.9100647152440429,positive
4,n_pron,-0.12238365198135878,0.12238365198135878,negative
4,n_intj,0.5913548926736876,0.5913548926736876,positive
4,n_det,-0.5581434358807885,0.5581434358807885,negative
4,n_adj,0.18440671087371635,0.18440671087371635,positive
4,n_aux,0.3455660745431531,0.3455660745431531,positive
4,n_VERB_Tense_Past,0.5822485298388312,0.5822485298388312,positive
4,n_VERB_Tense_Pres,-0.1896573919768739,0.1896573919768739,negative
4,n_adjacent_repetitions,0.13498841296774092,0.13498841296774092,positive
4,aux_verb_ratio,0.6137843887638129,0.6137843887638129,positive
4,particle_verb_ratio,0.6630088604820621,0.6630088604820621,positive
5,n_lemmas,-0.6923660289760134,0.6923660289760134,negative
5,tokens_per_sentence,-0.05685465173481612,0.05685465173481612,negative
5,avg_aoa,-0.9918445301469445,0.9918445301469445,negative
5,avg_concreteness,0.7223323872127043,0.7223323872127043,positive
5,n_low_synsets,0.5824243141560467,0.5824243141560467,positive
5,avg_Auditory_sensorimotor,0.631173125580216,0.631173125580216,positive
