fold,accuracy,precision,recall,f1,auc
1,0.8448275862068966,0.8235294117647058,0.7,0.7567567567567568,0.8842105263157894
2,0.9137931034482759,0.7916666666666666,1.0,0.8837209302325582,0.9608636977058029
3,0.7931034482758621,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.8529014844804318
4,0.8275862068965517,0.6785714285714286,0.95,0.7916666666666666,0.893421052631579
5,0.6724137931034483,0.5,0.21052631578947367,0.2962962962962963,0.6653171390013495
