metric,mean,std
accuracy,0.810344827586207,0.08875543224988795
precision,0.6955956066637181,0.12676138124257558
recall,0.7089473684210527,0.31302296960668086
f1,0.6825302352536134,0.22752885085340369
auc,0.8513427800269906,0.11119090549509204
