gender,n_samples,TP,TN,FP,FN,false_positive_rate,false_negative_rate,accuracy,precision,recall,f1
male,70,23,26,9,12,0.2571,0.3429,0.7,0.7188,0.6571,0.6866
female,86,31,38,5,12,0.1163,0.2791,0.8023,0.8611,0.7209,0.7848
