fold,feature,coefficient,direction,experiment,feature_set
5,avg_Mouth_sensorimotor,-0.8884705032462044,negative,cross_domain_cv,joint_top_features
5,avg_Olfactory_sensorimotor,0.14040866878498048,positive,cross_domain_cv,joint_top_features
5,avg_valence,0.7593903684865337,positive,cross_domain_cv,joint_top_features
5,avg_word_length,-0.9478947369670377,negative,cross_domain_cv,joint_top_features
5,n_adjacent_repetitions,0.42650056676809983,positive,cross_domain_cv,joint_top_features
5,n_adv,0.3974711130803474,positive,cross_domain_cv,joint_top_features
5,n_aux,0.9914202707849998,positive,cross_domain_cv,joint_top_features
5,n_det,0.2885098851494864,positive,cross_domain_cv,joint_top_features
5,n_intj,0.33611335003367804,positive,cross_domain_cv,joint_top_features
5,n_low_concreteness,0.3029709584839615,positive,cross_domain_cv,joint_top_features
5,n_low_synsets,0.773386615772535,positive,cross_domain_cv,joint_top_features
5,n_monosyllables,-0.5540037606271884,negative,cross_domain_cv,joint_top_features
5,n_noun,-0.5602073419107158,negative,cross_domain_cv,joint_top_features
5,particle_verb_ratio,0.18591599503189868,positive,cross_domain_cv,joint_top_features
5,sentiment_score,-0.6928420756444772,negative,cross_domain_cv,joint_top_features
1,aux_verb_ratio,-0.03255684586001961,negative,cross_domain_cv,shared_features
1,avg_Auditory_sensorimotor,0.26217121389390197,positive,cross_domain_cv,shared_features
1,avg_Mouth_sensorimotor,-0.2373561379050182,negative,cross_domain_cv,shared_features
1,avg_valence,0.5107774956526574,positive,cross_domain_cv,shared_features
1,avg_word_length,-1.107754029685806,negative,cross_domain_cv,shared_features
1,n_VERB_Tense_Past,0.003201740131371891,positive,cross_domain_cv,shared_features
1,n_adjacent_repetitions,0.2031547722056456,positive,cross_domain_cv,shared_features
1,n_adv,0.181394753778377,positive,cross_domain_cv,shared_features
1,n_aux,0.5628969691658835,positive,cross_domain_cv,shared_features
1,n_low_synsets,0.7266482099649273,positive,cross_domain_cv,shared_features
2,aux_verb_ratio,0.26369936578336434,positive,cross_domain_cv,shared_features
2,avg_Auditory_sensorimotor,0.3720128418657148,positive,cross_domain_cv,shared_features
2,avg_Mouth_sensorimotor,-0.3363412728692048,negative,cross_domain_cv,shared_features
2,avg_valence,0.5399366132638606,positive,cross_domain_cv,shared_features
2,avg_word_length,-1.2564236783120037,negative,cross_domain_cv,shared_features
2,n_VERB_Tense_Past,0.2597664536483751,positive,cross_domain_cv,shared_features
2,n_adjacent_repetitions,0.3747417670331441,positive,cross_domain_cv,shared_features
2,n_adv,0.08418589799635816,positive,cross_domain_cv,shared_features
2,n_aux,0.33772736246151575,positive,cross_domain_cv,shared_features
2,n_low_synsets,0.7966390118939902,positive,cross_domain_cv,shared_features
3,aux_verb_ratio,0.10325885261098673,positive,cross_domain_cv,shared_features
3,avg_Auditory_sensorimotor,0.2773272490041821,positive,cross_domain_cv,shared_features
3,avg_Mouth_sensorimotor,-0.20073817421883286,negative,cross_domain_cv,shared_features
3,avg_valence,0.4001653807488693,positive,cross_domain_cv,shared_features
3,avg_word_length,-1.0024364826363272,negative,cross_domain_cv,shared_features
3,n_VERB_Tense_Past,-0.047189570220283944,negative,cross_domain_cv,shared_features
3,n_adjacent_repetitions,0.35655952761423065,positive,cross_domain_cv,shared_features
3,n_adv,0.07921146742899483,positive,cross_domain_cv,shared_features
3,n_aux,0.5526614679818269,positive,cross_domain_cv,shared_features
3,n_low_synsets,0.6871733232281217,positive,cross_domain_cv,shared_features
4,aux_verb_ratio,0.10005658989328921,positive,cross_domain_cv,shared_features
4,avg_Auditory_sensorimotor,0.22611329401494362,positive,cross_domain_cv,shared_features
4,avg_Mouth_sensorimotor,-0.17079095308375256,negative,cross_domain_cv,shared_features
4,avg_valence,0.43811416703162553,positive,cross_domain_cv,shared_features
4,avg_word_length,-1.3674150739435675,negative,cross_domain_cv,shared_features
4,n_VERB_Tense_Past,0.046159803458203856,positive,cross_domain_cv,shared_features
4,n_adjacent_repetitions,0.2977760500820357,positive,cross_domain_cv,shared_features
4,n_adv,0.18390079554329453,positive,cross_domain_cv,shared_features
4,n_aux,0.4525142592966112,positive,cross_domain_cv,shared_features
4,n_low_synsets,0.947153446637592,positive,cross_domain_cv,shared_features
5,aux_verb_ratio,0.1324107100725317,positive,cross_domain_cv,shared_features
5,avg_Auditory_sensorimotor,0.22489711448026883,positive,cross_domain_cv,shared_features
